5,Antioquia,5002,Abejorral,2022,Centros Poblados y Rural Disperso,12310,0,0,0,0,8,12302
5,Antioquia,5002,Abejorral,2022,Total,21109,3,0,0,0,78,21028
5,Antioquia,5002,Abejorral,2023,Cabecera Municipal,9072,3,0,0,0,73,8996
5,Antioquia,5002,Abejorral,2023,Centros Poblados y Rural Disperso,12225,0,0,0,0,8,12217
5,Antioquia,5002,Abejorral,2023,Total,21297,3,0,0,0,81,21213
5,Antioquia,5002,Abejorral,2024,Cabecera Municipal,9248,3,0,0,0,74,9171
5,Antioquia,5002,Abejorral,2024,Centros Poblados y Rural Disperso,12220,0,0,0,0,8,12212
5,Antioquia,5002,Abejorral,2024,Total,21468,3,0,0,0,82,21383
5,Antioquia,5002,Abejorral,2025,Cabecera Municipal,9369,3,0,0,0,75,9291
5,Antioquia,5002,Abejorral,2025,Centros Poblados y Rural Disperso,12253,0,0,0,0,8,12245
5,Antioquia,5002,Abejorral,2025,Total,21622,3,0,0,0,83,21536
5,Antioquia,5002,Abejorral,2026,Cabecera Municipal,9499,3,0,0,0,76,9420
5,Antioquia,5002,Abejorral,2026,Centros Poblados y Rural Disperso,12252,0,0,0,0,8,12244
5,Antioquia,5002,Abejorral,2026,Total,21751,3,0,0,0,84,21664
5,Antioquia,5002,Abejorral,2027,Cabecera Municipal,9603,3,0,0,0,77,9523
5,Antioquia,5002,Abejorral,2027,Centros Poblados y Rural Disperso,12274,0,0,0,0,8,12266
5,Antioquia,5002,Abejorral,2027,Total,21877,3,0,0,0,85,21789
5,Antioquia,5002,Abejorral,2028,Cabecera Municipal,9679,3,0,0,0,77,9599
5,Antioquia,5002,Abejorral,2028,Centros Poblados y Rural Disperso,12296,0,0,0,0,8,12288
5,Antioquia,5002,Abejorral,2028,Total,21975,3,0,0,0,85,21887
5,Antioquia,5002,Abejorral,2029,Cabecera Municipal,9743,3,0,0,0,78,9662
5,Antioquia,5002,Abejorral,2029,Centros Poblados y Rural Disperso,12351,0,0,0,0,8,12343
5,Antioquia,5002,Abejorral,2029,Total,22094,3,0,0,0,86,22005
5,Antioquia,5002,Abejorral,2030,Cabecera Municipal,9798,3,0,0,0,78,9717
5,Antioquia,5002,Abejorral,2030,Centros Poblados y Rural Disperso,12404,0,0,0,0,8,12396
5,Antioquia,5002,Abejorral,2030,Total,22202,3,0,0,0,86,22113
5,Antioquia,5002,Abejorral,2031,Cabecera Municipal,9834,3,0,0,0,79,9752
5,Antioquia,5002,Abejorral,2031,Centros Poblados y Rural Disperso,12461,0,0,0,0,8,12453
5,Antioquia,5002,Abejorral,2031,Total,22295,3,0,0,0,87,22205
5,Antioquia,5002,Abejorral,2032,Cabecera Municipal,9880,3,0,0,0,79,9798
5,Antioquia,5002,Abejorral,2032,Centros Poblados y Rural Disperso,12522,0,0,0,0,8,12514
5,Antioquia,5002,Abejorral,2032,Total,22402,3,0,0,0,87,22312
5,Antioquia,5002,Abejorral,2033,Cabecera Municipal,9905,3,0,0,0,79,9823
5,Antioquia,5002,Abejorral,2033,Centros Poblados y Rural Disperso,12586,0,0,0,0,8,12578
5,Antioquia,5002,Abejorral,2033,Total,22491,3,0,0,0,87,22401
5,Antioquia,5002,Abejorral,2034,Cabecera Municipal,9925,3,0,0,0,79,9843
5,Antioquia,5002,Abejorral,2034,Centros Poblados y Rural Disperso,12659,0,0,0,0,8,12651
5,Antioquia,5002,Abejorral,2034,Total,22584,3,0,0,0,87,22494
5,Antioquia,5002,Abejorral,2035,Cabecera Municipal,9960,3,0,0,0,80,9877
5,Antioquia,5002,Abejorral,2035,Centros Poblados y Rural Disperso,12705,0,0,0,0,8,12697
5,Antioquia,5002,Abejorral,2035,Total,22665,3,0,0,0,88,22574
5,Antioquia,5004,Abriaquí,2018,Cabecera Municipal,824,0,1,0,0,27,796
5,Antioquia,5004,Abriaquí,2018,Centros Poblados y Rural Disperso,1871,0,0,0,0,26,1845
5,Antioquia,5004,Abriaquí,2018,Total,2695,0,1,0,0,53,2641
5,Antioquia,5004,Abriaquí,2019,Cabecera Municipal,837,0,1,0,0,28,808
5,Antioquia,5004,Abriaquí,2019,Centros Poblados y Rural Disperso,1893,0,0,0,0,26,1867
5,Antioquia,5004,Abriaquí,2019,Total,2730,0,1,0,0,54,2675
5,Antioquia,5004,Abriaquí,2020,Cabecera Municipal,859,0,1,0,0,28,830
5,Antioquia,5004,Abriaquí,2020,Centros Poblados y Rural Disperso,1916,0,0,0,0,27,1889
5,Antioquia,5004,Abriaquí,2020,Total,2775,0,1,0,0,55,2719
5,Antioquia,5004,Abriaquí,2021,Cabecera Municipal,904,0,1,0,0,30,873
5,Antioquia,5004,Abriaquí,2021,Centros Poblados y Rural Disperso,1873,0,0,0,0,26,1847
5,Antioquia,5004,Abriaquí,2021,Total,2777,0,1,0,0,56,2720
5,Antioquia,5004,Abriaquí,2022,Cabecera Municipal,948,0,1,0,0,31,916
5,Antioquia,5004,Abriaquí,2022,Centros Poblados y Rural Disperso,1856,0,0,0,0,26,1830
5,Antioquia,5004,Abriaquí,2022,Total,2804,0,1,0,0,57,2746
5,Antioquia,5004,Abriaquí,2023,Cabecera Municipal,992,0,1,0,0,33,958
